qb_id,player_id,player_name,team,start_number,rookie_year,draft_number,team_qb
Trey Lance-91399,91399,Trey Lance,SF,3,2021,3,
Jameis Winston-9434,9434,Jameis Winston,NO,78,2015,1,
Teddy Bridgewater-8667,8667,Teddy Bridgewater,MIA,67,2014,32,
Cooper Rush-12324,12324,Cooper Rush,DAL,6,2017,,
Bailey Zappe-60396,60396,Bailey Zappe,NE,4,2022,137,
Phillip Walker-1,1,Phillip Walker,CAR,6,2017,,
Matthew Stafford-4924,4924,Matthew Stafford,LAR,195,2009,1,LAR
Jimmy Garoppolo-8697,8697,Jimmy Garoppolo,SF,62,2014,62,OAK
Bryce Perkins-35299,35299,Bryce Perkins,LAR,1,2020,,
Kyler Murray-38334,38334,Kyler Murray,ARI,56,2019,1,ARI
Lamar Jackson-46416,46416,Lamar Jackson,BAL,63,2018,32,BAL
Jacoby Brissett-10725,10725,Jacoby Brissett,CLE,48,2016,91,
Trevor Siemian-9683,9683,Trevor Siemian,CHI,30,2015,250,
Kyle Allen-26152,26152,Kyle Allen,HOU,18,2018,,
John Wolford-46454,46454,John Wolford,LAR,3,2018,,
Marcus Mariota-9435,9435,Marcus Mariota,ATL,73,2015,2,
Matt Ryan-4317,4317,Matt Ryan,IND,242,2008,3,
Mitchell Trubisky-11757,11757,Mitchell Trubisky,PIT,56,2017,2,
Ryan Tannehill-7014,7014,Ryan Tannehill,TEN,147,2012,8,TEN
Colt McCoy-2,2,Colt McCoy,ARI,35,2010,85,
Brett Rypien-46487,46487,Brett Rypien,DEN,3,2019,,
Zach Wilson-82096,82096,Zach Wilson,NYJ,21,2021,2,
Derek Carr-8671,8671,Derek Carr,OAK,141,2014,36,NO
Taylor Heinicke-9896,9896,Taylor Heinicke,WAS,27,2015,,
Malik Willis-60341,60341,Malik Willis,TEN,3,2022,86,
Tua Tagovailoa-60326,60326,Tua Tagovailoa,MIA,32,2020,5,MIA
Trace McSorley-3,3,Trace McSorley,ARI,1,2019,197,
Nick Foles-7089,7089,Nick Foles,IND,63,2012,88,
Mike White-46453,46453,Mike White,NYJ,7,2018,171,
Carson Wentz-10636,10636,Carson Wentz,WAS,92,2016,2,
Justin Fields-82118,82118,Justin Fields,CHI,25,2021,11,CHI
Joshua Dobbs-11890,11890,Joshua Dobbs,TEN,2,2017,135,
Jarrett Stidham-13725,13725,Jarrett Stidham,OAK,3,2019,133,
Desmond Ridder-55086,55086,Desmond Ridder,ATL,4,2022,74,ATL
Joe Flacco-4332,4332,Joe Flacco,NYJ,194,2008,18,
Davis Webb-11842,11842,Davis Webb,NYG,1,2017,87,
Mac Jones-60323,60323,Mac Jones,NE,31,2021,15,NE
Baker Mayfield-46518,46518,Baker Mayfield,LAR,74,2018,1,TB
Russell Wilson-7077,7077,Russell Wilson,DEN,188,2012,75,DEN
Nathan Peterman-11926,11926,Nathan Peterman,CHI,4,2017,171,
Sam Ehlinger-60555,60555,Sam Ehlinger,IND,4,2021,218,
David Blough-46508,46508,David Blough,ARI,7,2019,,
Anthony Brown-40316,40316,Anthony Brown,BAL,1,2022,,
Andy Dalton-6187,6187,Andy Dalton,NO,164,2011,35,
Sam Darnold-29048,29048,Sam Darnold,CAR,56,2018,3,
Kenny Pickett-60515,60515,Kenny Pickett,PIT,11,2022,20,PIT
Sam Howell-97599,97599,Sam Howell,WAS,1,2022,144,WAS
Jared Goff-10635,10635,Jared Goff,DET,106,2016,1,DET
Aaron Rodgers-2241,2241,Aaron Rodgers,GB,241,2005,24,NYJ
Davis Mills-52269,52269,Davis Mills,HOU,28,2021,67,
Deshaun Watson-11767,11767,Deshaun Watson,CLE,63,2017,12,CLE
Geno Smith-7820,7820,Geno Smith,SEA,50,2013,39,SEA
Justin Herbert-28237,28237,Justin Herbert,LAC,50,2020,6,LAC
Tyler Huntley-46448,46448,Tyler Huntley,BAL,11,2020,,
Skylar Thompson-60417,60417,Skylar Thompson,MIA,4,2022,247,
Kirk Cousins-7102,7102,Kirk Cousins,MIN,142,2012,102,MIN
Tom Brady-698,698,Tom Brady,TB,377,2000,199,
Daniel Jones-39395,39395,Daniel Jones,NYG,54,2019,6,NYG
Trevor Lawrence-77632,77632,Trevor Lawrence,JAX,36,2021,1,JAX
Dak Prescott-10769,10769,Dak Prescott,DAL,102,2016,135,DAL
Josh Allen-46601,46601,Josh Allen,BUF,83,2018,7,BUF
Brock Purdy-77672,77672,Brock Purdy,SF,8,2022,262,SF
Joe Burrow-28022,28022,Joe Burrow,CIN,49,2020,1,CIN
Josh Johnson-4474,4474,Josh Johnson,SF,12,2008,160,
Jalen Hurts-40291,40291,Jalen Hurts,PHI,38,2020,53,PHI
Patrick Mahomes-11765,11765,Patrick Mahomes,KC,93,2017,10,KC
Anthony Richardson-124393,124393,Anthony Richardson,IND,0,2023,4,IND
C.J. Stroud-129759,129759,C.J. Stroud,HOU,0,2023,2,HOU
Bryce Young-123943,123943,Bryce Young,CAR,0,2023,1,CAR
Jordan Love-40306,40306,Jordan Love,GB,1,2020,26,GB
Tyson Bagent-169628,169628,Tyson Bagent,CHI,3,2023,250,CHI
Clayton Tune-77652,77652,Clayton Tune,ARI,1,2023,139,ARI
Will Levis-83542,83542,Will Levis,TEN,1,2023,33,TEN
Gardner Minshew-41401,41401,Gardner Minshew,PHI,28,2019,178,IND
Phillip Walker-12134,12134,Phillip Walker,CAR,6,2017,250,CLE
Tommy Devito-60545,60545,Tommy Devito,NYG,0,2023,250,NYG
Dorian Thompson-Robinson-83574,83574,Dorian Thompson-Robinson,CLE,2,2023,140,CLE
Jake Browning-46401,46401,Jake Browning,CIN ,,,,
Aidan O'Connell-60516,60516,Aidan O'Connell,OAK,,,,
Tim Boyle-21956,21956,Tim Boyle,NYJ,,,,
C.J. Beathard-11859,11859,C.J. Beathard,JAX,,,,
Easton Stick-29466,29466,Easton Stick,LAC,,,,
Nick Mullens-12282,12282,Nick Mullens,MIN,,,,
Mason Rudolph-46569,46569,Mason Rudolph,PIT,,,,
Tyrod Taylor-6332,6332,Tyrod Taylor,NYG,,,,
Jaren Hall-82094,82094,Jaren Hall,,,,,
Caleb Williams-144622,144622,Caleb Williams ,CHI,0,2024,1,CHI
Bo Nix-97790,97790,Bo Nix,DEN,0,2024,12,DEN
Jayden Daniels-97993,97993,Jayden Daniels,WAS,0,2024,2,WAS
Drake Maye-143969,143969,Drake Maye,NE,2,2024,3,NE
Spencer Rattler-97408,97408,Spencer Rattler,NO,0,2024,150,
